,LC_top,LC_bottom,s_since_start
188,136940770000.0,99018570000.0,501.3333333333333
189,136998330000.0,99021960000.0,504.0
190,137141270000.0,99106690000.0,506.66666666666663
191,137209840000.0,99161090000.0,509.3333333333333
192,137121480000.0,99143440000.0,512.0
193,137126494000.0,99122800000.0,514.6666666666666
194,136865880000.0,99000074000.0,517.3333333333333
195,136627290000.0,98856160000.0,520.0
196,136614760000.0,98835055000.0,522.6666666666666
197,136387540000.0,98713400000.0,525.3333333333333
198,136419310000.0,98771740000.0,528.0
199,136419020000.0,98743250000.0,530.6666666666666
200,136671960000.0,98896994000.0,533.3333333333333
201,136580130000.0,98872220000.0,536.0
202,136537190000.0,98905470000.0,538.6666666666666
203,136270750000.0,98706310000.0,541.3333333333333
204,136318250000.0,98742090000.0,544.0
205,136364020000.0,98758000000.0,546.6666666666666
206,136352100000.0,98737670000.0,549.3333333333333
207,136319510000.0,98716980000.0,552.0
208,136506560000.0,98783730000.0,554.6666666666666
209,136460970000.0,98720940000.0,557.3333333333333
210,136598600000.0,98827534000.0,560.0
211,136485670000.0,98749040000.0,562.6666666666666
212,136496680000.0,98726494000.0,565.3333333333333
213,136388860000.0,98639290000.0,568.0
214,136353110000.0,98579840000.0,570.6666666666666
215,136340640000.0,98533480000.0,573.3333333333333
216,136194015000.0,98394300000.0,576.0
217,136132575000.0,98363140000.0,578.6666666666666
218,135875860000.0,98115090000.0,581.3333333333333
219,135991710000.0,98235790000.0,584.0
220,136242250000.0,98366185000.0,586.6666666666666
221,136350660000.0,98425274000.0,589.3333333333333
222,136154170000.0,98268870000.0,592.0
223,136375250000.0,98398360000.0,594.6666666666666
224,136481200000.0,98470420000.0,597.3333333333333
225,136572580000.0,98494500000.0,600.0
226,136498180000.0,98424594000.0,602.6666666666666
227,136365970000.0,98290835000.0,605.3333333333333
228,136255840000.0,98192920000.0,608.0
229,136275165000.0,98194690000.0,610.6666666666666
230,136498315000.0,98279950000.0,613.3333333333333
231,136470300000.0,98293570000.0,616.0
232,136429830000.0,98201485000.0,618.6666666666666
233,136429625000.0,98174950000.0,621.3333333333333
234,136421120000.0,98154420000.0,624.0
235,136391210000.0,98120780000.0,626.6666666666666
236,136138600000.0,97932460000.0,629.3333333333333
237,136215130000.0,97991370000.0,632.0
238,136009320000.0,97834120000.0,634.6666666666666
239,135939604000.0,97789450000.0,637.3333333333333
240,136072220000.0,97844330000.0,640.0
241,136117625000.0,97852850000.0,642.6666666666666
242,136280690000.0,97909630000.0,645.3333333333333
243,136189160000.0,97866030000.0,648.0
244,136127440000.0,97806740000.0,650.6666666666666
245,136221655000.0,97828315000.0,653.3333333333333
246,136217140000.0,97818730000.0,656.0
247,136118895000.0,97713010000.0,658.6666666666666
248,136107410000.0,97644130000.0,661.3333333333333
249,136025970000.0,97580564000.0,664.0
